epoch,accuracy,l2_norm,loss,val_accuracy,val_l2_norm,val_loss
0,9.394581138622016e-05,0.031313516199588776,0.000551931036170572,9.368462633574381e-05,0.021827667951583862,0.0001389837561873719
1,9.446522744838148e-05,0.018634570762515068,0.00010888084943871945,9.377714013680816e-05,0.01804148405790329,9.569981921231374e-05
2,9.461131412535906e-05,0.014740095473825932,6.662694067927077e-05,9.392099309479818e-05,0.01747717149555683,8.948626782512292e-05
3,9.466728079132736e-05,0.013046633452177048,5.2496627176878974e-05,9.393114305566996e-05,0.013382263481616974,5.337801485438831e-05
4,9.469375800108537e-05,0.012438272126019001,4.943262683809735e-05,9.395502274855971e-05,0.013252466917037964,5.215711280470714e-05
5,9.471990779275075e-05,0.011585178785026073,4.121162055525929e-05,9.396935638505965e-05,0.012381310574710369,4.574849663185887e-05
6,9.471495286561549e-05,0.012521371245384216,7.15026690158993e-05,9.281486563850194e-05,0.06237521395087242,0.0011279978789389133
7,9.465691982768476e-05,0.012885508127510548,5.270125620882027e-05,9.396578388987109e-05,0.01215472724288702,4.4227057514945045e-05
8,9.470601071370766e-05,0.011039720848202705,3.759799074032344e-05,9.39621968427673e-05,0.011491477489471436,3.9584137994097546e-05
9,9.473005047766492e-05,0.010403333231806755,3.314586138003506e-05,9.395804954692721e-05,0.011827235110104084,4.166555299889296e-05
10,9.473600221099332e-05,0.010063224472105503,3.097858643741347e-05,9.397774556418881e-05,0.010331639088690281,3.231966547900811e-05
11,9.474671969655901e-05,0.009778444655239582,2.9236962291179225e-05,9.396519453730434e-05,0.013384099118411541,5.2993356803199276e-05
12,9.475326805841178e-05,0.009552828036248684,2.8077136448700912e-05,9.397832036484033e-05,0.011560441926121712,3.985863440902904e-05
13,9.475852129980922e-05,0.009392955340445042,2.695485090953298e-05,9.397474059369415e-05,0.010123196057975292,3.0956500268075615e-05
14,9.476018021814525e-05,0.009185707196593285,2.5923143766704015e-05,9.398905967827886e-05,0.01122830156236887,3.766617373912595e-05
15,9.476581180933863e-05,0.009106285870075226,2.555313221819233e-05,9.398190013598651e-05,0.01112817320972681,3.6871035263175145e-05
16,9.476835111854598e-05,0.00897433701902628,2.4772194592515007e-05,9.396877430845052e-05,0.011149870231747627,3.744085188372992e-05
17,9.477373532718047e-05,0.008899357169866562,2.4809467504383065e-05,9.398848487762734e-05,0.009536287747323513,2.7553473046282306e-05
18,9.477503772359341e-05,0.00874771922826767,2.3420820070896298e-05,9.3993847258389e-05,0.009424766525626183,2.6896306735579856e-05
19,9.477401181356981e-05,0.008678514510393143,2.3200309442472644e-05,9.399445116287097e-05,0.009155125357210636,2.5507462851237506e-05
20,9.477688581682742e-05,0.00857340358197689,2.2809113943367265e-05,9.399266127729788e-05,0.009006956592202187,2.473568201821763e-05
21,9.477702406002209e-05,0.008508492261171341,2.2353317035594955e-05,9.399504779139534e-05,0.00913231074810028,2.5349203497171402e-05
22,9.478059655521065e-05,0.008434432558715343,2.184300137741957e-05,9.399683040101081e-05,0.009202721528708935,2.5763398298295215e-05
23,9.478015272179618e-05,0.008439885452389717,2.2899801479070447e-05,9.400340786669403e-05,0.008909451775252819,2.4248394765891135e-05
24,9.478536958340555e-05,0.008272276259958744,2.1160893084015697e-05,9.399863483849913e-05,0.008961147628724575,2.4453802325297147e-05
25,9.478716674493626e-05,0.008243116550147533,2.1352268959162757e-05,9.399922419106588e-05,0.0086604543030262,2.287461575178895e-05
26,9.479209984419867e-05,0.008096007630228996,2.0163746739854105e-05,9.399146074429154e-05,0.009050649590790272,2.4897241019061767e-05
27,9.47901644394733e-05,0.00799378752708435,2.0099987523281015e-05,9.399563714396209e-05,0.008502552285790443,2.2113672457635403e-05
28,9.479284199187532e-05,0.007872264832258224,1.930413782247342e-05,9.399562986800447e-05,0.00859824288636446,2.2564565369975753e-05
29,9.479491563979536e-05,0.007819498889148235,1.8933764295070432e-05,9.399803820997477e-05,0.00867629423737526,2.2965525204199366e-05
30,9.47962180362083e-05,0.007732205558568239,1.8369421013630927e-05,9.399983537150547e-05,0.008283283561468124,2.1078916688566096e-05
31,9.479712753091007e-05,0.007721317000687122,1.8611361156217754e-05,9.398907423019409e-05,0.008057448081672192,2.0030160158057697e-05
32,9.479371510678902e-05,0.007692937273532152,1.909275488287676e-05,9.399801638210192e-05,0.008183824829757214,2.0608020349754952e-05
33,9.480056905886158e-05,0.007593812886625528,1.7868500435724854e-05,9.399565169587731e-05,0.008138494566082954,2.0384595700306818e-05
34,9.480178414378315e-05,0.007598882541060448,1.8163962522521615e-05,9.399802365805954e-05,0.008231052197515965,2.0856361516052857e-05
35,9.479850996285677e-05,0.007560184225440025,1.887289727164898e-05,9.398669499205425e-05,0.00785838533192873,1.9135290131089278e-05
36,9.48049346334301e-05,0.007430034689605236,1.7176800611196086e-05,9.398966358276084e-05,0.007994369603693485,1.9721455828403123e-05
37,9.480476001044735e-05,0.00743804732337594,1.743923894537147e-05,9.39789242693223e-05,0.007793555036187172,1.8859622286981903e-05
38,9.480478911427781e-05,0.007382039912045002,1.7018766811816022e-05,9.398726251674816e-05,0.008012603037059307,1.977550891751889e-05
39,9.480524022364989e-05,0.007329692132771015,1.7273036064580083e-05,9.399443661095574e-05,0.007736795581877232,1.858206815086305e-05
40,9.480494190938771e-05,0.007280223537236452,1.6543750462005846e-05,9.398489055456594e-05,0.007784084416925907,1.8783453924697824e-05
41,9.480508015258238e-05,0.007279013749212027,1.6448891983600333e-05,9.400220005773008e-05,0.007753546349704266,1.868119215941988e-05
42,9.48067317949608e-05,0.0075709400698542595,2.003318331844639e-05,9.399263944942504e-05,0.0078272158280015,1.89947422768455e-05
43,9.480747394263744e-05,0.007294423412531614,1.641521703277249e-05,9.398188558407128e-05,0.007760983891785145,1.8697375708143227e-05
44,9.480582957621664e-05,0.007251882925629616,1.6463098290842026e-05,9.399143164046109e-05,0.007749201729893684,1.8644064766704105e-05
45,9.48068845900707e-05,0.007208349648863077,1.6339918147423305e-05,9.39997989917174e-05,0.007775245700031519,1.8731410818872973e-05
46,9.480762673774734e-05,0.00714098522439599,1.5950989109114744e-05,9.399205009685829e-05,0.007566880900412798,1.7857080820249394e-05
47,9.480702283326536e-05,0.0071501596830785275,1.594073728483636e-05,9.39956444199197e-05,0.00751964095979929,1.7666801795712672e-05
48,9.481060988036916e-05,0.007073548156768084,1.5434419765369967e-05,9.400220733368769e-05,0.007520473562180996,1.763492946338374e-05
49,9.481211600359529e-05,0.007143270689994097,1.6198333469219506e-05,9.400398994330317e-05,0.007764074020087719,1.8664517483557574e-05
50,9.480972221354023e-05,0.006977238226681948,1.5173839528870303e-05,9.399623377248645e-05,0.007528523914515972,1.7681126337265596e-05
51,9.480761946178973e-05,0.007338629104197025,1.7625738109927624e-05,9.400458657182753e-05,0.008389940485358238,2.1481906514964066e-05
52,9.481180313741788e-05,0.007010012399405241,1.5320729289669544e-05,9.400220733368769e-05,0.0074930922128260136,1.7546444723848253e-05
53,9.481434972258285e-05,0.006972367875277996,1.4999875929788686e-05,9.400637645740062e-05,0.007397659122943878,1.712801713438239e-05
54,9.481253800913692e-05,0.006946556735783815,1.4950237527955323e-05,9.400100680068135e-05,0.007404916919767857,1.7141323041869327e-05
55,9.481359302299097e-05,0.006931793410331011,1.4991800526331645e-05,9.400398994330317e-05,0.007361471652984619,1.6962821973720565e-05
56,9.481421147938818e-05,0.006887780036777258,1.4753968571312726e-05,9.400398266734555e-05,0.007365179713815451,1.699786116660107e-05
57,9.481223969487473e-05,0.0069683813489973545,1.5702204109402373e-05,9.40051832003519e-05,0.007286297623068094,1.66475565492874e-05
58,9.48164306464605e-05,0.006843248847872019,1.4556471796822734e-05,9.399084956385195e-05,0.007360483054071665,1.6960426364676096e-05
59,9.481689630774781e-05,0.0068269167095422745,1.4495366485789418e-05,9.400397539138794e-05,0.007323015481233597,1.6789446817710996e-05
60,9.481928282184526e-05,0.006840789690613747,1.4507342712022364e-05,9.39997989917174e-05,0.007255188655108213,1.6509780834894627e-05
61,9.481761662755162e-05,0.006823522970080376,1.4593239029636607e-05,9.400039562024176e-05,0.007260492071509361,1.6539077478228137e-05
62,9.481836605118588e-05,0.00676112761721015,1.4271663530962542e-05,9.400217095389962e-05,0.007288516964763403,1.6626863725832663e-05
63,9.482031600782648e-05,0.006810530088841915,1.437351693311939e-05,9.401173883816227e-05,0.007361565250903368,1.694012462394312e-05
64,9.482061432208866e-05,0.006748866755515337,1.406738465448143e-05,9.401112765772268e-05,0.007285457570105791,1.6612464605714194e-05
65,9.48190936469473e-05,0.006764743011444807,1.4103444300417323e-05,9.400220005773008e-05,0.007257894612848759,1.6505164239788428e-05
66,9.481983579462394e-05,0.006727206986397505,1.4201048543327488e-05,9.400398266734555e-05,0.007191949058324099,1.625135337235406e-05
67,9.482090536039323e-05,0.006721897516399622,1.402571979269851e-05,9.40099562285468e-05,0.007272697519510984,1.656566746532917e-05
68,9.48213564697653e-05,0.006680539343506098,1.3943699741503224e-05,9.4006369181443e-05,0.007195180747658014,1.6244914149865508e-05
69,9.482178575126454e-05,0.0066903443075716496,1.405499642714858e-05,9.40111349336803e-05,0.0071617295034229755,1.609835817362182e-05
70,9.482267341809347e-05,0.006642983295023441,1.3643095371662639e-05,9.400934504810721e-05,0.007165619637817144,1.6124684407259338e-05
71,9.482178575126454e-05,0.006658810656517744,1.3755552572547458e-05,9.399681584909558e-05,0.007139326073229313,1.601447911525611e-05
72,9.482327732257545e-05,0.006685652304440737,1.3945781574875582e-05,9.395443339599296e-05,0.012048196978867054,4.2887917516054586e-05
73,9.482046152697876e-05,0.0066285389475524426,1.3633467460749671e-05,9.400278213433921e-05,0.007114620413631201,1.592027365404647e-05
74,9.482447785558179e-05,0.006615576334297657,1.356067332380917e-05,9.401292481925339e-05,0.007200769614428282,1.6249079635599628e-05
75,9.482372115598992e-05,0.00661824457347393,1.3587980902229901e-05,9.400158160133287e-05,0.007179909851402044,1.6168143702088855e-05
76,9.482461609877646e-05,0.006604147143661976,1.3568488611781504e-05,9.400039562024176e-05,0.008093022741377354,2.0108183889533393e-05
77,9.482522727921605e-05,0.006584378890693188,1.3522977496904787e-05,9.39997989917174e-05,0.007105150260031223,1.587585938978009e-05
78,9.482493624091148e-05,0.0065567283891141415,1.3411476174951531e-05,9.401053830515593e-05,0.0070413402281701565,1.5630195775884204e-05
79,9.482402674620971e-05,0.006546972319483757,1.335328215645859e-05,9.400398266734555e-05,0.007141141686588526,1.601706571818795e-05
80,9.482389577897266e-05,0.00656626932322979,1.3395243513514288e-05,9.400696580996737e-05,0.0077873473055660725,1.8715621990850195e-05
81,9.48262750171125e-05,0.006540126167237759,1.3228260286268778e-05,9.400576527696103e-05,0.007044825702905655,1.5635845556971617e-05
82,9.482478344580159e-05,0.006563677452504635,1.3381980352278333e-05,9.400338603882119e-05,0.0073689729906618595,1.694090497039724e-05
83,9.482580935582519e-05,0.006516366731375456,1.3098452654958237e-05,9.401294664712623e-05,0.0073626721277832985,1.6961725123110227e-05
84,9.482730820309371e-05,0.006510155275464058,1.3107399354339577e-05,9.401890565641224e-05,0.00716952420771122,1.6155559933395125e-05
85,9.482775931246579e-05,0.006461028940975666,1.3033592949796002e-05,9.400099224876612e-05,0.007169117219746113,1.6154819604707882e-05
86,9.482522727921605e-05,0.006508294027298689,1.320399132964667e-05,9.400577255291864e-05,0.007942266762256622,1.941809205163736e-05
87,9.482700988883153e-05,0.006473966874182224,1.3015066542720888e-05,9.400935960002244e-05,0.006973430048674345,1.5379479009425268e-05
88,9.482671885052696e-05,0.0064862254075706005,1.3105751349939965e-05,9.400100680068135e-05,0.006908333860337734,1.5137281479837839e-05
89,9.482746827416122e-05,0.006443135906010866,1.286156566493446e-05,9.399801638210192e-05,0.007016032934188843,1.5576515579596162e-05
90,9.482790483161807e-05,0.00644900556653738,1.2919163054903038e-05,9.401233546668664e-05,0.007058532442897558,1.569561027281452e-05
91,9.482642053626478e-05,0.00643795495852828,1.2875236279796809e-05,9.399562986800447e-05,0.0069802082143723965,1.5405728845507838e-05
92,9.482507448410615e-05,0.006440395954996347,1.2913385035062674e-05,9.399920963915065e-05,0.0069671072997152805,1.5364830687758513e-05
93,9.482716268394142e-05,0.0064016240648925304,1.2686319678323343e-05,9.400397539138794e-05,0.00698780408129096,1.5454608728759922e-05
94,9.482881432631984e-05,0.006410685833543539,1.2741921636916231e-05,9.400875569554046e-05,0.007025047205388546,1.5591404007864185e-05
95,9.48279193835333e-05,0.00639872532337904,1.270802295039175e-05,9.400637645740062e-05,0.007060415577143431,1.5723304386483505e-05
96,9.482910536462441e-05,0.0063987430185079575,1.2775110008078627e-05,9.400637645740062e-05,0.006923620589077473,1.5207600881694816e-05
97,9.48277665884234e-05,0.006374360527843237,1.2582412637129892e-05,9.40051832003519e-05,0.007251705043017864,1.648521538299974e-05
98,9.482791210757568e-05,0.0064126127399504185,1.2774276910931803e-05,9.399919508723542e-05,0.006879972293972969,1.5049189642013516e-05
99,9.482893801759928e-05,0.0063729435205459595,1.2593151041073725e-05,9.401234274264425e-05,0.006954649463295937,1.53207074617967e-05
